Fecha,HR_stable,RRbar_s,RMSSD_stable,lnRMSSD,cRMSSD,beta_mode,beta_est_90d,beta_use_90d,R2_winsor_90d,Color_Agudo_Diario,Color_Tendencia,Color_Tiebreak
2025-08-07,51.25946802888849,1.170515463917526,40.672344207499705,3.705548357980175,44.18576984199054,clipped,3.041651930931022,3.0,0.5974011207174816,Ámbar,Verde,Verde
2025-08-08,52.24707461422742,1.1483896551724138,37.3033018937993,3.619081845353839,42.86008225173772,clipped,3.056612818501685,3.0,0.5980648402287799,Ámbar,Ámbar,Verde
2025-08-09,55.98535093790795,1.0717089201877934,33.56906426267641,3.513604936390654,47.3959099637941,clipped,3.084120871955649,3.0,0.6018317671605407,Rojo,Verde,Rojo
2025-08-10,52.13203472159011,1.1509238095238097,34.952577763416706,3.5539922217086874,39.67131674258415,clipped,3.047146819702471,3.0,0.6178198992720745,Ámbar,Rojo,Ámbar
2025-08-11,49.57865586755205,1.210198198198198,45.82309487688916,3.824788218980245,44.73547370760886,clipped,3.116837782741403,3.0,0.6301023339594277,Verde,Verde,Verde
2025-08-12,48.35248769341804,1.2408875502008032,59.47607271673586,4.085574092457403,53.92923894060834,clipped,3.1101271184247,3.0,0.6340047933341719,Verde,Verde,Verde
2025-08-13,46.62132085933168,1.286964824120603,56.24347324648687,4.029690003178826,45.71422816874031,frozen,3.1506228587470866,3.0,0.6282426269743122,Verde,Verde,Verde
2025-08-14,49.76845067119996,1.205583038869258,48.378787626382106,3.879061445471075,48.385485748423896,frozen,3.185619868531753,3.0,0.6203679291894553,Verde,Verde,Verde
2025-08-15,46.83136008425884,1.2811927710843372,56.65384838283599,4.036959917785164,47.06950206870904,frozen,3.1843418584800696,3.0,0.6198322919017742,Verde,Verde,Verde
2025-08-16,46.65753746827856,1.2859658536585366,53.29891659127719,3.9759160043475217,43.79088249097455,frozen,3.206994541764037,3.0,0.6266622324070457,Verde,Ámbar,Verde
2025-08-17,51.98011262357735,1.154287610619469,33.948915872070046,3.524856920418841,38.67899625317358,frozen,3.1604132676467103,3.0,0.6270577372535453,Ámbar,Rojo,Ámbar
2025-08-18,44.86880500186953,1.3372319587628867,52.181677446589376,3.954731426500979,38.02003239402505,frozen,3.2049037426073346,3.0,0.6277250750580619,Verde,Rojo,Ámbar
2025-08-19,49.85489991814868,1.2034925373134326,39.53786064321673,3.677258710138487,39.63114211672563,frozen,3.1619684627025064,3.0,0.6275733302783237,Ámbar,Rojo,Ámbar
2025-08-20,48.54821583802823,1.2358847583643124,52.55040224507707,3.961772751814636,48.65230299252137,clipped,3.1462000503967165,3.0,0.6204264029066566,Verde,Verde,Verde
2025-08-21,50.76142131979696,1.182,53.27365575032133,3.975441945387061,56.69543768720785,clipped,3.127793396003565,3.0,0.6132965158316643,Verde,Verde,Verde
2025-08-22,49.17628016076597,1.220100418410042,49.75224330907818,3.907055554227767,47.87262331263676,clipped,3.110210300815016,3.0,0.6017307726078228,Verde,Verde,Verde
2025-08-23,49.2627015665539,1.2179600000000002,50.8885285282098,3.929637525429504,49.50041712675301,frozen,3.1877641719907643,3.0,0.6108433983587387,Verde,Verde,Verde
2025-08-24,47.250764765864,1.269820717131474,60.5671197928381,4.103752168150797,52.28615420841843,frozen,3.2071396648717654,3.0,0.6138048157615944,Verde,Verde,Verde
2025-08-25,47.92462025830559,1.251966101694915,56.48129044394052,4.033909440727459,50.87493918714108,frozen,3.255966965668473,3.0,0.613212123419919,Verde,Verde,Verde
2025-08-26,49.44721742781174,1.2134150943396225,51.40267355386147,3.939690185774969,50.85510221314645,frozen,3.301862240793833,3.0,0.6233818368022697,Verde,Verde,Verde
2025-08-27,48.63079603672014,1.233786096256685,46.1576308070554,3.83206229521226,43.44110826325482,frozen,3.308683513322501,3.0,0.6235791944520237,Verde,Ámbar,Verde
